,artist,track,track_id,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
6951,Claes Nilsson,Beyond Barricades,spotify:track:6tLFPu4tSmS5LccfUNtbN6,61,2018,0.115,0.0197,4,-25.263,0,0.0375,0.966,0.928,0.195,0.0651,78.449,audio_features,168857,4
6952,sophiemarie.b,hey little girl (live),spotify:track:0sZIYfLTAKNvGBtN01897a,59,2018,0.52,0.195,6,-11.05,0,0.0513,0.919,0.0132,0.145,0.193,79.945,audio_features,212096,4
6953,COIN,Growing Pains,spotify:track:6B3VHoemogRyAp6VokPNKF,57,2018,0.626,0.946,1,-4.644,0,0.0779,0.0523,0.0,0.149,0.679,103.004,audio_features,211533,4
6954,NCT 127,Simon Says,spotify:track:1zedfw5iu7XzKJT8CupEIP,64,2018,0.653,0.836,9,-6.018,1,0.238,0.218,0.0,0.0507,0.569,151.977,audio_features,199773,4
6955,Rand Aldo,Tell Me And I'll Forget,spotify:track:2d0PP0ZSYGhqICCRkntOaD,61,2018,0.362,0.064,0,-23.989,1,0.0338,0.942,0.797,0.111,0.0627,89.989,audio_features,172569,4
6956,Elevation Worship,Echo (feat. Tauren Wells),spotify:track:1MMk1Fw3vdYDRYj5cilHtt,58,2018,0.638,0.842,2,-6.225,1,0.0392,0.0864,0.0,0.624,0.542,103.965,audio_features,236736,4
6957,$NOT,Lovely,spotify:track:4yxFC6hIvXlD1YAtbuxcof,57,2018,0.566,0.541,5,-11.209,1,0.29,0.872,3.77e-05,0.174,0.552,87.02,audio_features,114547,4
6958,Bad Bunny,MIA,spotify:track:3gE4eQH3K83Sght0ZLvuBK,67,2018,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000496,0.099,0.156,97.054,audio_features,210368,4
6959,21 Savage,gun smoke,spotify:track:4f1XXGjZZ9EkFkrbPJek6X,58,2018,0.809,0.461,10,-5.677,0,0.0907,0.000832,4.43e-05,0.143,0.325,85.992,audio_features,167410,4
6960,Peach Pit,Drop the Guillotine,spotify:track:1gpBDeONibvJyQYEv5HJh9,58,2018,0.514,0.881,0,-6.52,1,0.0629,0.0381,9.55e-06,0.103,0.577,87.541,audio_features,219960,4
6961,Yella Beezy,"That's On Me (feat. 2 Chainz, T.I., Rich The Kid, Jeezy, Boosie Badazz & Trapboy Freddy) - Remix",spotify:track:79BfaYJzuQbcRupNKVGXVR,56,2018,0.827,0.623,4,-6.199,0,0.35,0.0193,0.0,0.0589,0.357,131.904,audio_features,352977,4
6962,The Amity Affliction,Drag The Lake,spotify:track:4vVzmaBsxXuKrJeMSLRF4y,59,2018,0.498,0.904,6,-6.351,1,0.0456,0.026,4.98e-06,0.0685,0.343,133.973,audio_features,211520,4
6963,Sidual.,On Peets,spotify:track:5mlEqWvEuNHuIPPKtRxd3w,58,2018,0.518,0.442,0,-9.441,0,0.251,0.788,0.904,0.181,0.521,81.987,audio_features,118279,4
6964,City Morgue,33rd Blakk Glass,spotify:track:5T0YyRxyxtLDxLYJhLjqWM,59,2018,0.373,0.862,1,-1.98,1,0.0612,0.162,0.0,0.48,0.32,113.252,audio_features,150267,5
6965,Bebe Rexha,I Got You,spotify:track:2jB9QaPJyVdz2Q0Va8rrnU,61,2018,0.606,0.887,9,-4.782,0,0.052,0.0498,3.47e-06,0.0958,0.349,97.972,audio_features,191787,4
